Sample,Fay June 16 Total Area MS1,Fay Late June 16 Total Area MS1,Fay Mid July 16 Total Area MS1,Fay Early Aug 16 Total Area MS1,Fay Aug 16 Total Area MS1,Fay Early Sept 16 Total Area MS1,Fay Late Sept 16 Total Area MS1,Fay Late June 17 Total Area MS1,Fay Early July 17 Total Area MS1,Fay Late July 17 Total Area MS1,Fay Early Aug 17 Total Area MS1,Fay Late Aug 17 Total Area MS1,Fay Early Sept 17 Total Area MS1,Fay Late Sept 17 Total Area MS1,JL 086C Total Area MS1,JL Late July 16 Total Area MS1,JL Dec 17 Total Area MS1,JL Nov 17 Total Area MS1,JL Oct 17 Total Area MS1,KB Early June 16 Total Area MS1,KB Late June 16 Total Area MS1,KB Early July 16 Total Area MS1,KB Mid Aug 16 Total Area MS1,KB Early Aug 16 Total Area MS1,KB Late Aug 16 Total Area MS1,KB Sept 16 Total Area MS1,KB Early July 17 Total Area MS1,KB Late July 17 Total Area MS1,KB Early Aug 17 Total Area MS1,KB Mid Aug 17 Total Area MS1,KB Late Aug 17 Total Area MS1,KB July 22 Rep 1 Total Area MS1,KB July 22 Rep 2 Total Area MS1,KB Aug 22 Rep 1 Total Area MS1,KB Aug 22 Rep 2 Total Area MS1,KB Sept_Oct 22 Rep 1 Total Area MS1,KB Sept_Oct 22 Rep 2 Total Area MS1,Lill Late May 16 Total Area MS1,Lill Mid June 16 Total Area MS1,Lill Late June 16 Total Area MS1,Lill Early July 16 Total Area MS1,Lill Late July 16 Total Area MS1,Lill Aug 16 Total Area MS1,Lill Early Sept 16 Total Area MS1,Lill Mid Sept 16 Total Area MS1,Lill Late June 17 Total Area MS1,Lill Late July 17 Total Area MS1,Lill End July 17 Total Area MS1,Lill Early Aug 17 Total Area MS1,Lill Late Aug 17 Total Area MS1,Lill Oct 17 Total Area MS1,Lill Sept 17 Total Area MS1,Buck Dam Aug 22 Rep 1 Total Area MS1,Buck Dam Aug 22 Rep 2 Total Area MS1,Buck Dam July 22 Rep 1 Total Area MS1,Buck Dam July 22 Rep 2 Total Area MS1,Buck Dam Sept 22 Rep 1 Total Area MS1,Buck Dam Sept 22 Rep 2 Total Area MS1
Label,Fayetteville 16,Fayetteville 16,Fayetteville 16,Fayetteville 16,Fayetteville 16,Fayetteville 16,Fayetteville 16,Fayetteville 17,Fayetteville 17,Fayetteville 17,Fayetteville 17,Fayetteville 17,Fayetteville 17,Fayetteville 17,Jordan Lake,Jordan Lake,Jordan Lake,Jordan Lake,Jordan Lake,Kings Bluff 16,Kings Bluff 16,Kings Bluff 16,Kings Bluff 16,Kings Bluff 16,Kings Bluff 16,Kings Bluff 16,Kings Bluff 17,Kings Bluff 17,Kings Bluff 17,Kings Bluff 17,Kings Bluff 17,Kings Bluff 22,Kings Bluff 22,Kings Bluff 22,Kings Bluff 22,Kings Bluff 22,Kings Bluff 22,Lillington 16,Lillington 16,Lillington 16,Lillington 16,Lillington 16,Lillington 16,Lillington 16,Lillington 16,Lillington 17,Lillington 17,Lillington 17,Lillington 17,Lillington 17,Lillington 17,Lillington 17,Buckhorn Dam,Buckhorn Dam,Buckhorn Dam,Buckhorn Dam,Buckhorn Dam,Buckhorn Dam
PFEtS,0,0,0,0,51.43015572,0,0,0,0,0,0,0,0,0,12.80402572,38.24976205,0,1.569694433,23.7584802,0,57.19214301,25.28391953,46.26445764,20.62053422,173.8105314,126.0000203,1.7159057,13.1227758,0,0,1.742551996,0,0,0,0,0,0,0,0,0,0,0,0,5.562899317,0,0,0,16.33165829,0,0,0,0,0,0,0,0,0,0
PFPrS,0,0,606.9915254,0,369.3914329,0,0,5.344585091,177.1167048,0,0,112.673373,99.54525288,225.6165297,329.9412916,91.26571131,11.64176469,204.8077498,136.8432776,70.33862735,56.42205132,100.716028,153.2770657,10.47011621,0,384.3534303,103.7003879,83.29626335,71.48905286,0,191.9617763,0,0,60.25081788,86.51685393,2.401566687,4.464285714,0,0,0,27.44209466,0,0,74.35558493,0,0,32.9081161,269.4723618,44.84788568,0,10.48280423,52.11864407,54.14317626,102.1879523,0,13.36898396,0,34.4621989
PFPeS,1255.799756,710.968775,692184.0194,1645.435501,142338.062,1228.250401,2129.16893,97462.8692,97424.358,1675.590963,2040.674603,43122.99954,204049.4122,135081.8152,146784.6799,26921.16101,37622.32129,146651.767,100490.3899,85751.92602,92811.65611,106976.2111,118324.5806,42265.40812,58726.44741,88886.63556,150134.3629,112258.73,121677.9969,147945.5986,145930.4666,21362.57606,5347.730083,33178.46238,36814.0717,5957.215007,5975.67734,21817.00361,1562.260729,150474.423,58740.13092,33234.02746,18365.95014,53885.05177,46150.43828,64017.7894,96192.1797,533582.4958,26337.52752,4131.451231,60591.26984,74483.53511,31396.92586,37478.51019,42527.57926,37081.66038,205.8350563,17690.91343
PFECHS,12294.9154,12802.77555,467376.816,9888.687455,127542.9047,6803.317282,36101.90114,249757.8762,140567.76,23836.55479,19164.88095,173533.2647,181127.2737,343166.5741,108364.8868,113338.5816,142775.485,137002.4069,141641.8409,62095.40057,45914.35554,69700.00262,70629.62384,24980.55169,24109.68704,28574.04979,69672.1128,60123.22064,94022.98294,73077.67172,26432.04047,74193.92326,46921.9808,66244.38386,66608.05243,26180.71532,30443.08292,89800.43321,9974.964739,309654.1901,165595.8711,88092.33926,89717.44539,284323.4743,201687.9886,223762.1321,403374.9307,820047.3199,213007.6394,34912.8196,180361.8386,441502.1792,151276.6461,167586.0428,114560.7477,94261.46226,13128.95868,173149.1176
PFHpS,63313.53567,73869.52525,2590371.368,49707.83982,526663.4167,34434.02889,120480.2281,1236427.707,628241.6984,90222.86796,55172.91667,932088.325,789485.7476,1117380.804,366551.7473,592730.8551,551692.6905,374344.6152,363027.8141,327060.1974,226331.1805,371347.9162,308660.8315,106617.5131,124205.3584,149106.6146,346133.5422,278097.976,496172.9164,442402.458,199323.0467,350518.2133,256094.7124,219156.7612,221703.9326,62413.32715,71219.34524,415141.0108,65766.57264,1555529.528,795625.8812,341704.2104,411398.1191,891641.3858,575189.6707,1012150.883,1488653.818,3378857.831,856382.0608,107239.3762,468372.8505,1120022.518,262983.406,267713.7847,241908.9243,196995.7044,13884.23419,178288.8544
8Cl-PFOS,3874.934589,4205.408771,213853.5109,2215.897188,9585.693822,1139.753879,5068.766974,29726.16034,13606.55988,3207.914327,1625.744048,22956.29477,14468.27862,20662.90824,3167.1792,8574.973981,7153.947165,3818.692818,3223.821589,13780.21041,5694.674046,15478.16508,8013.910597,3957.384229,5180.259154,8218.921859,6539.167413,7362.933719,13580.19838,8628.173935,4251.770658,7023.918188,7347.229583,3396.428571,3585.955056,1086.260565,1304.936371,19041.94946,3368.527101,51229.36161,21064.50151,9254.116634,8773.772205,16358.61423,10968.01706,20939.56835,23021.16842,48287.89782,14954.25336,1464.459044,5907.440476,18496.79177,4819.380917,4650.679212,3934.167125,4604.891733,419.0213646,3439.800461
PFNS,8915.53288,8814.992735,272211.1077,7333.172186,36257.93632,4339.111825,21967.9522,86868.70605,49784.49021,12213.2036,5458.878968,68249.0093,46993.56699,75727.33837,16402.46016,36570.41959,24786.42052,22455.45058,18680.6619,27977.1721,12903.70773,27422.77126,21776.18006,8105.921344,17683.98726,20732.31476,21107.28141,15924.82206,33078.26297,20536.278,13599.32546,23717.37661,23138.69752,10953.05344,9618.485821,4298.433313,5009.616174,34361.84116,8118.829337,110902.6825,50809.36556,25183.69053,32294.79524,58408.34986,40209.33428,84214.45389,99617.58181,182136.0972,63949.35514,5384.114583,25146.06481,70379.17676,11370.06701,11535.01837,11020.47828,16198.43079,1844.064849,10788.83457
PFDS,40321.64661,33470.68766,347216.8584,41454.63702,574843.0294,21398.07384,124417.2732,193504.1491,214724.2309,59469.50503,28539.33532,198898.7959,131978.15,218195.8454,139196.0302,421878.5081,296379.4664,224486.1867,131487.3644,64960.32874,31138.19552,43587.27411,41398.19735,16410.42856,38648.6609,29533.45938,68733.13936,53180.54938,103116.5477,60396.21935,34917.08825,88717.24983,82579.0202,30791.08506,24660.99518,19708.52402,21645.06363,107303.8628,45966.70361,351011.6448,128585.0957,93596.1139,134232.1242,220724.0031,147709.8792,255169.588,325134.4056,459247.4874,197205.5453,19635.89015,72038.88889,207036.5012,51385.86321,38215.98374,45980.98772,89422.50373,12050.63831,53638.88226
PFDoS,138.1039595,93.34875308,2843.069007,372.774152,3022.54979,24.50508293,611.2438892,515.4008439,828.7312484,361.1727831,29.26587302,777.4348422,614.6850044,564.5967563,4.081632653,5.248223165,3.365628655,4.93332536,7.795751316,2.098650094,0,0,0,0,0.100759728,1.829770364,112.8767532,55.49377224,306.882787,48.10031817,63.06913997,132.5642326,74.04463287,13.24972737,8.801498127,112.4716553,100.7081281,4.296028881,70.16925247,489.1869412,234.7432024,157.9520697,192.6158133,252.3132849,68.51457001,655.5918901,671.4734701,456.0301508,132.5663955,4.379734848,69.41137566,96.91283293,17.44495266,2.310433137,2.336448598,56.06206715,27.91178498,38.85443994
PFTrDA,1288.810396,1087.744269,3157.384988,942.9135444,7037.706206,607.7046549,1495.491581,2892.33474,3800.711925,3819.185059,2240.823413,2352.156683,1700.587844,2460.730949,50.26558569,95.00173458,29.35269581,70.48675477,16.05553545,0,96.98021378,6.242295486,3.125976868,23.8707993,1.511395925,8.284793592,1495.374515,1225.311388,2259.525826,1167.259342,1716.750984,827.0368492,448.6545369,340.2126499,210.6206528,371.5110287,231.4552545,1045.99278,2127.140842,8096.381784,1532.275932,1147.970816,1353.809026,1264.320335,1629.519071,3667.756704,7449.251248,6152.21943,4915.337258,963.0681818,425.760582,1915.375303,385.0920115,283.4595257,465.8695254,719.7773297,400.790916,553.5018682
